name,gender,ratio,females,males,total
Aaren,M,72,282,717,999
Napua,F,100,6,0,6
Daylin,M,58,916,1263,2179
Josei,F,100,5,0,5
Kashlyn,F,100,138,0,138
Marletta,F,100,221,0,221
Brendia,F,100,118,0,118
Jariyah,F,98,566,10,576
Bryttnii,F,100,6,0,6
Saraphine,F,100,10,0,10
Laronte,M,100,0,12,12
Milin,M,100,0,11,11
Leovardo,M,100,0,247,247
Noleen,F,100,5,0,5
Kynndal,F,100,6,0,6
Jedrik,M,100,0,19,19
Apollos,M,100,0,50,50
Tiondra,F,100,82,0,82
Raife,M,100,0,53,53
Keitlyn,F,100,25,0,25
Selebrity,F,100,5,0,5
Shontez,M,100,0,55,55
Lakeshi,F,100,16,0,16
Atanya,F,100,6,0,6
Alyssandra,F,100,622,0,622
Thaissa,F,100,5,0,5
Anahita,F,100,305,0,305
Jasonn,M,100,0,6,6
Nowshin,F,100,11,0,11
Nakeyah,F,100,22,0,22
Markevius,M,100,0,131,131
Chalandra,F,100,15,0,15
Selana,F,100,20,0,20
Mccarty,M,100,0,5,5
Shunna,F,100,76,0,76
Kiara,F,100,45215,221,45436
Emelita,F,100,10,0,10
Quanesia,F,100,7,0,7
Allysandra,F,100,35,0,35
Esmay,F,100,51,0,51
Narcisco,M,100,0,5,5
Soctt,M,100,0,33,33
Hara,F,100,95,0,95
Joelliane,F,100,17,0,17
Louie,M,98,273,11834,12107
Askari,M,100,0,135,135
Carita,F,100,691,0,691
Richad,M,100,0,309,309
Joylynn,F,100,488,0,488
Shmaya,M,100,0,42,42
Kelvontae,M,100,0,11,11
Antenette,F,100,6,0,6
Tyriana,F,100,252,0,252
Damarrion,M,100,0,227,227
Anwan,M,100,0,5,5
Yaresli,F,100,42,0,42
Ysa,F,100,17,0,17
Laquina,F,100,47,0,47
Lafrederick,M,100,0,5,5
Ajanay,F,100,136,0,136
Donalee,F,100,206,0,206
Corutney,F,100,5,0,5
Makaylan,F,100,46,0,46
Helaina,F,100,776,0,776
Ferrari,F,84,38,7,45
Morning,F,100,157,0,157
Leeaira,F,100,11,0,11
Gayleen,F,100,427,0,427
Morine,F,100,12,0,12
Corsica,F,100,86,0,86
Khaleelah,F,100,107,0,107
Jory,M,86,475,2921,3396
Cyara,F,100,246,0,246
Aujanai,F,100,5,0,5
Cheriann,F,100,5,0,5
Janmichael,M,100,0,279,279
Markishia,F,100,5,0,5
Ginevra,F,100,126,0,126
Ebecca,F,100,38,0,38
Able,M,100,0,689,689
Miesha,F,100,2440,0,2440
Dru,M,61,1430,2192,3622
Abenezer,M,100,0,109,109
Ladarryl,M,100,0,62,62
Maruska,F,100,6,0,6
Shellene,F,100,285,0,285
Oberon,M,100,0,39,39
Lavanda,F,100,338,0,338
Rashandra,F,100,16,0,16
Junae,F,100,20,0,20
Onyx,M,63,442,738,1180
Savi,F,100,35,0,35
Afrodita,F,100,16,0,16
Falon,F,96,1801,73,1874
Reagyn,F,100,147,0,147
Maureene,F,100,5,0,5
Alvera,F,100,271,0,271
Taquella,F,100,5,0,5
Zelda,F,100,4104,0,4104
Therion,M,100,0,10,10
Majid,M,100,0,472,472
Jashante,F,100,6,0,6
Lakisa,F,100,263,0,263
Jayzin,M,100,0,12,12
Vinicius,M,100,0,290,290
Shaquandria,F,100,6,0,6
Elin,F,97,2866,85,2951
Shakira,F,100,7998,0,7998
Noble,M,98,68,3049,3117
Sefton,M,100,0,5,5
Jkyla,F,100,6,0,6
Burman,M,100,0,10,10
Kaceon,M,100,0,10,10
Braelen,M,100,0,185,185
Zariyha,F,100,25,0,25
Gerika,F,100,29,0,29
Keshia,F,100,5381,6,5387
Kevi,F,52,11,10,21
Daishon,M,100,0,161,161
Maejor,M,100,0,32,32
Noah,M,100,1492,308452,309944
Sonnet,F,100,248,0,248
Lahna,F,100,281,0,281
Davidjoseph,M,100,0,5,5
Crystale,F,100,203,0,203
Parnika,F,100,113,0,113
Lorel,F,100,217,0,217
Kaisean,M,100,0,6,6
Kelli,F,100,74547,300,74847
Asis,M,100,0,5,5
Vickilyn,F,100,10,0,10
Tkai,F,50,72,72,144
Marielys,F,100,256,0,256
Shourya,M,100,0,140,140
Manroop,F,100,24,0,24
Rb,M,100,0,5,5
Kelynn,F,69,47,21,68
Robynn,F,100,1176,0,1176
Margert,F,100,226,0,226
Shakaylah,F,100,8,0,8
Tyrek,M,100,0,2009,2009
Lerissa,F,100,27,0,27
Lexanie,F,100,6,0,6
Chloejane,F,100,6,0,6
Darenda,F,100,174,0,174
Bryndee,F,100,7,0,7
Quiara,F,100,311,0,311
Likita,F,100,32,0,32
Tatijana,F,100,68,0,68
Akeelah,F,100,1228,0,1228
Munira,F,100,363,0,363
Tyquana,F,100,45,0,45
Joes,M,100,0,5,5
Tamal,M,100,0,16,16
Charrelle,F,100,16,0,16
Darus,M,100,0,84,84
Janelisse,F,100,12,0,12
Gale,F,78,13399,3739,17138
Krik,M,100,0,12,12
Silvya,F,100,10,0,10
Jermanine,M,100,0,16,16
Enari,F,100,5,0,5
Rashieka,F,100,5,0,5
Deron,M,99,35,5431,5466
Keziah,F,98,2469,62,2531
Devra,F,100,712,0,712
Lorett,F,100,15,0,15
Jalay,F,100,11,0,11
Kohle,M,100,0,90,90
Detra,F,100,1996,0,1996
Alarik,M,100,0,58,58
Luchiano,M,100,0,79,79
Felisity,F,100,18,0,18
Danavia,F,100,7,0,7
Anaijah,F,100,153,0,153
Brahian,M,100,0,5,5
Arlette,F,100,3720,0,3720
Sigfredo,M,100,0,251,251
Balal,M,100,0,17,17
Dajuan,M,100,0,3258,3258
Adelynne,F,100,370,0,370
Eldine,F,100,7,0,7
Lakyria,F,100,6,0,6
Siriyah,F,100,37,0,37
Kijuana,F,100,76,0,76
Breck,M,83,380,1838,2218
Miyako,F,100,64,0,64
Sultana,F,100,192,0,192
Aiven,M,100,0,191,191
Keywana,F,100,11,0,11
Kylea,F,100,1428,0,1428
Christine,F,100,466220,1584,467804
Caffie,F,100,78,0,78
Lexe,F,100,5,0,5
Jovina,F,100,49,0,49
Dulani,M,100,0,11,11
Alejondro,M,100,0,6,6
Gerik,M,100,0,104,104
Garred,M,100,0,38,38
Rhoan,M,100,0,21,21
Tamea,F,100,292,0,292
Tabbie,F,100,26,0,26
Anchita,F,100,6,0,6
Kelie,F,100,273,0,273
Sahal,M,100,0,20,20
Meredy,F,100,5,0,5
Dolly,F,100,5930,5,5935
Antuwan,M,100,0,5,5
Jaquashia,F,100,15,0,15
Demetrics,M,100,0,23,23
Keyri,F,100,414,0,414
Mellany,F,100,428,0,428
Izai,M,100,0,37,37
Alexza,F,100,195,0,195
Evannie,F,100,48,0,48
Kazen,M,100,0,29,29
Erhan,M,100,0,5,5
Johnray,M,100,0,15,15
Angelicamae,F,100,7,0,7
Dacari,M,100,0,182,182
Zamora,F,100,412,0,412
Zyona,F,100,96,0,96
Dashown,M,100,0,5,5
Dshaun,M,100,0,268,268
Mandalynn,F,100,27,0,27
Huriel,M,100,0,277,277
Sareniti,F,100,5,0,5
Jazzmen,F,100,488,0,488
Clint,M,100,54,29030,29084
Aashna,F,100,543,0,543
Jme,F,100,5,0,5
Bisola,F,100,5,0,5
Xoaquin,M,100,0,6,6
Jaedan,M,84,83,450,533
Sharryn,F,100,5,0,5
Harly,F,87,152,22,174
Prajin,M,100,0,5,5
Mayeda,F,100,10,0,10
Lindita,F,100,40,0,40
Cissy,F,100,418,0,418
Divin,M,100,0,5,5
Delanny,F,100,43,0,43
Bettyjo,F,100,446,0,446
Starlet,F,100,898,0,898
Lizbeht,F,100,29,0,29
Kortne,F,100,69,0,69
Gerred,M,100,0,43,43
Diyanna,F,100,5,0,5
Nikeisha,F,100,236,0,236
Ilda,F,100,827,0,827
Lawerence,M,100,0,1917,1917
Pheobe,F,100,535,0,535
Forestt,M,100,0,5,5
Dimitra,F,100,782,0,782
Nahyla,F,100,11,0,11
Adika,M,100,0,13,13
Enijah,F,100,158,0,158
Karyle,F,100,10,0,10
Jolyon,M,100,0,31,31
Walta,F,100,19,0,19
Ricarda,F,100,390,0,390
Machael,M,98,5,195,200
Nazirah,F,100,134,0,134
Turney,M,100,0,5,5
Ragad,F,100,24,0,24
Jacqulin,F,100,475,0,475
Dennette,F,100,209,0,209
Kaelie,F,100,636,0,636
Scotia,F,100,24,0,24
Tenli,F,100,23,0,23
Sunem,F,100,17,0,17
Mareyah,F,100,5,0,5
Demeko,M,100,0,32,32
Airah,F,100,7,0,7
Nyier,M,100,0,16,16
Shukriyyah,F,100,12,0,12
Jayrell,M,100,0,8,8
Yecenia,F,100,1230,5,1235
Dequinton,M,100,0,19,19
Nasrin,F,100,68,0,68
Livvie,F,100,33,0,33
Khalee,M,88,10,73,83
Adysyn,F,100,32,0,32
Zelma,F,100,1780,0,1780
Shihab,M,100,0,67,67
Leathia,F,100,20,0,20
Evalin,F,100,87,0,87
Xayla,F,100,56,0,56
Deuce,M,100,0,66,66
Maezy,F,100,5,0,5
Leilia,F,100,17,0,17
Reeca,F,100,12,0,12
Antwanett,F,100,5,0,5
Yonna,F,100,119,0,119
Azaylee,F,100,12,0,12
Nicolino,M,100,0,27,27
Lucya,F,100,5,0,5
Dasian,M,100,0,6,6
Khadidja,F,100,36,0,36
Bryin,M,100,0,16,16
Jeannemarie,F,100,265,0,265
Kyeson,M,100,0,5,5
Tessie,F,100,2399,0,2399
Mackinzi,F,100,26,0,26
Oghosa,F,100,5,0,5
Bartt,M,100,0,115,115
Terase,F,100,10,0,10
Yulissa,F,100,3316,0,3316
Irina,F,100,1212,0,1212
Analie,F,100,292,0,292
Sereniti,F,100,536,0,536
Zubeyr,M,100,0,11,11
Viveka,F,100,87,0,87
Jocasta,F,100,10,0,10
Dujuana,F,100,25,0,25
Cybelle,F,100,26,0,26
Nimrit,F,100,56,0,56
Besim,M,100,0,32,32
Kaveen,M,100,0,5,5
Hildegarde,F,100,86,0,86
Alayn,M,100,0,11,11
Sharonn,F,100,43,0,43
Prithiv,M,100,0,6,6
Toney,M,97,143,4411,4554
Tayna,F,100,874,0,874
Jessiah,M,84,181,975,1156
Leeta,F,100,136,0,136
Gwynda,F,100,10,0,10
Mayka,F,100,20,0,20
Emilianne,F,100,10,0,10
Kodey,M,98,11,658,669
Tyjaun,M,100,0,14,14
Laquesha,F,100,946,0,946
Jashiyah,F,100,13,0,13
Kinika,F,100,10,0,10
Diahann,F,100,353,0,353
Summerrose,F,100,20,0,20
Averyonna,F,100,14,0,14
Saidou,M,100,0,5,5
Maanvi,F,100,30,0,30
Melva,F,100,3978,0,3978
Mystery,F,100,216,0,216
Zarya,F,100,328,0,328
Arhonda,F,100,28,0,28
Eryca,F,100,161,0,161
Nijayah,F,100,11,0,11
Nicholas,M,100,2924,825931,828855
Jacelyn,F,100,2329,0,2329
Tieisha,F,100,90,0,90
Breniya,F,100,131,0,131
Aileene,F,100,81,0,81
Elijah,M,100,986,228696,229682
Simeko,F,100,7,0,7
Esi,F,100,18,0,18
Leim,M,100,0,40,40
Carlea,F,100,291,0,291
Dezjuan,M,100,0,22,22
Yanky,M,100,0,54,54
Lashai,F,100,210,0,210
Burlin,M,100,0,69,69
Mirabai,F,100,16,0,16
Arai,F,100,35,0,35
Amarin,F,50,5,5,10
Padgett,F,100,5,0,5
Anslee,F,100,854,0,854
Irlene,F,100,19,0,19
Brieya,F,100,5,0,5
Jenella,F,100,39,0,39
Jimel,M,100,0,105,105
Montie,M,81,200,856,1056
Celsa,F,100,55,0,55
Junjie,M,100,0,5,5
Tanisha,F,100,18995,21,19016
Ashrit,M,100,0,6,6
Suhaani,F,100,15,0,15
Honie,F,100,7,0,7
Latora,F,100,521,0,521
Broady,M,100,0,83,83
Marria,F,100,81,0,81
Reion,M,100,0,5,5
Amirh,F,100,5,0,5
Canishia,F,100,7,0,7
Theresa,F,100,265451,781,266232
Schenita,F,100,15,0,15
Osaretin,M,100,0,6,6
Jazelle,F,100,1842,0,1842
Kahlin,M,84,11,59,70
Jonnita,F,100,26,0,26
Riad,M,100,0,158,158
Silviano,M,100,0,158,158
Jarade,M,100,0,5,5
Kamry,F,98,717,16,733
Melville,M,100,0,319,319
Yaneth,F,100,786,0,786
Christyann,F,100,68,0,68
Justina,F,100,10347,6,10353
Raeleen,F,100,476,0,476
Rokeisha,F,100,36,0,36
Jackelynn,F,100,121,0,121
Brittania,F,100,402,0,402
Jadonte,M,100,0,5,5
Romelia,F,100,913,0,913
Yissell,F,100,15,0,15
Mahaila,F,100,109,0,109
Bryleah,F,100,5,0,5
Esgar,M,100,0,544,544
Lakynn,F,100,115,0,115
Khi,M,96,7,158,165
Juany,F,100,5,0,5
Biatriz,F,100,21,0,21
Devlon,M,100,0,93,93
Yudiel,M,100,0,6,6
Jossette,F,100,80,0,80
Celyn,F,100,6,0,6
Trayvonne,M,100,0,30,30
Reddington,M,100,0,6,6
Pravallika,F,100,5,0,5
Gwenivere,F,100,296,0,296
Thommy,M,100,0,17,17
Kirke,M,100,0,46,46
Erianne,F,100,23,0,23
Isidoro,M,100,0,835,835
Beaver,M,100,0,19,19
Rannie,M,85,15,87,102
Ogochukwu,F,100,5,0,5
Wyndell,M,100,0,238,238
Aralis,F,100,5,0,5
Lekendrick,M,100,0,193,193
Rozalia,F,100,58,0,58
Branigan,F,56,39,31,70
Jianny,M,100,0,5,5
Lizeth,F,100,7810,9,7819
Raunda,F,100,5,0,5
Jinnie,F,100,237,0,237
Wendie,F,100,1999,0,1999
Hudy,F,100,5,0,5
Lorne,M,99,33,3249,3282
Dylam,M,100,0,10,10
Shawnise,F,100,92,0,92
Adelae,F,100,124,0,124
Benetta,F,100,290,0,290
Jeramiyah,M,100,0,5,5
Kaniala,M,100,0,5,5
Evelinda,F,100,15,0,15
Amandra,F,100,23,0,23
Loey,F,100,17,0,17
Delloyd,M,100,0,5,5
Melik,M,100,0,392,392
Jaclene,F,100,89,0,89
Laylianna,F,100,10,0,10
Vivienna,F,100,5,0,5
Krissi,F,100,341,0,341
Tiffiney,F,100,1040,0,1040
Janica,F,100,579,0,579
Dylynn,F,100,83,0,83
Nolana,F,100,31,0,31
Amarisa,F,100,90,0,90
Perian,F,100,73,0,73
Kyaria,F,100,18,0,18
Latania,F,100,497,0,497
Marelli,F,100,12,0,12
Javiah,F,100,16,0,16
Brisyn,M,100,0,34,34
Corrie,F,84,6167,1142,7309
Kharlee,F,100,12,0,12
Gelen,F,100,5,0,5
Lancing,M,100,0,5,5
Serge,M,100,0,1234,1234
Jodelle,F,100,275,0,275
Garrhett,M,100,0,14,14
Jayln,M,64,226,401,627
Leona,F,100,16693,0,16693
Fantasy,F,100,107,0,107
Devean,M,100,0,198,198
Mathieu,M,100,0,2010,2010
Jermonte,M,100,0,40,40
Lucindy,F,100,130,0,130
Malyn,F,100,137,0,137
Lesi,F,100,19,0,19
Shaharra,F,100,6,0,6
Deriek,M,100,0,11,11
Lajae,F,100,18,0,18
Karras,M,100,0,6,6
Cilia,F,100,48,0,48
Libbey,F,100,108,0,108
Ikher,M,100,0,7,7
Carleen,F,100,4592,0,4592
Sherrena,F,100,10,0,10
Allyza,F,100,5,0,5
Reyona,F,100,13,0,13
Meg,F,100,5119,0,5119
Facundo,M,100,0,133,133
Jernisha,F,100,16,0,16
Jaymian,M,100,0,72,72
Marene,F,100,48,0,48
Idrena,F,100,5,0,5
Harper,F,91,38649,3903,42552
Nadim,M,100,0,323,323
Albie,M,100,0,53,53
Chantrelle,F,100,28,0,28
Delali,F,100,19,0,19
Lashondra,F,100,1096,0,1096
Itzany,F,100,5,0,5
Latosia,F,100,21,0,21
Escarleth,F,100,24,0,24
Mehreen,F,100,310,0,310
Jannette,F,100,3913,0,3913
Shylynn,F,100,320,0,320
Jimere,M,100,0,10,10
Riese,M,65,32,59,91
Quintisha,F,100,43,0,43
Kiersten,F,100,13999,5,14004
Naviya,F,100,39,0,39
Sharlee,F,100,506,0,506
Jyren,M,100,0,83,83
Jamielynn,F,100,516,0,516
Jannessa,F,100,222,0,222
Almedin,M,100,0,25,25
Doug,M,100,5,19737,19742
Sanea,F,100,7,0,7
Barakat,F,100,5,0,5
Tsega,F,100,10,0,10
Chang,M,98,5,302,307
Chiquitha,F,100,5,0,5
Callison,F,100,14,0,14
Uwe,M,100,0,35,35
Nadyah,F,100,60,0,60
Mazlyn,F,100,37,0,37
Twon,M,100,0,5,5
Jaelia,F,100,6,0,6
Jeconiah,M,100,0,7,7
Brnadon,M,100,0,53,53
Ahmyah,F,100,62,0,62
Terr,M,100,0,5,5
Gabina,F,100,25,0,25
Shadonna,F,100,638,0,638
Becky,F,100,76950,139,77089
Ruslan,M,100,0,352,352
Chasmin,F,100,12,0,12
Amriel,F,100,17,0,17
Karlesha,F,100,21,0,21
Cheril,F,100,205,0,205
Nkem,F,100,5,0,5
Schrie,F,100,5,0,5
Dadne,F,100,5,0,5
Zhoe,F,100,102,0,102
Tena,F,100,5587,0,5587
Kailie,F,100,1221,0,1221
Neon,M,100,0,11,11
Bradlyn,M,100,0,15,15
Eleuterio,M,100,0,498,498
Joyce,F,100,187782,649,188431
Joycene,F,100,10,0,10
Delvia,F,100,25,0,25
Oniel,M,100,0,162,162
Dionca,F,100,16,0,16
Sahibdeep,M,100,0,8,8
Makenze,F,100,187,0,187
Robley,M,100,0,89,89
Arnesia,F,100,67,0,67
Adriean,M,100,0,18,18
Sheonna,F,100,12,0,12
Elyssa,F,100,6513,0,6513
Nevah,F,100,183,0,183
Jeanelle,F,100,1727,0,1727
Mukul,M,100,0,13,13
Jasom,M,100,0,10,10
Tishika,F,100,6,0,6
Desrae,F,100,36,0,36
Leoul,M,100,0,5,5
Ayania,F,100,52,0,52
Alizee,F,100,286,0,286
Diondria,F,100,43,0,43
Tallie,F,99,408,5,413
Rokko,M,100,0,10,10
Jabre,M,93,10,126,136
Berdena,F,100,11,0,11
Leteisha,F,100,18,0,18
Ivie,F,98,998,16,1014
Elizebeth,F,100,1835,0,1835
Jumar,M,100,0,138,138
Dayshon,M,100,0,233,233
Ariyonna,F,100,402,0,402
Edwards,M,100,0,198,198
Taniqua,F,100,605,0,605
Brandom,M,100,0,289,289
Koesha,F,100,5,0,5
Tyjanique,F,100,6,0,6
Kaylanicole,F,100,16,0,16
Kaedan,M,98,5,300,305
Jona,F,84,1540,302,1842
Zebidiah,M,100,0,5,5
Devonn,M,95,23,410,433
Farmer,M,100,0,17,17
Lorrina,F,100,55,0,55
Chastelin,F,100,40,0,40
Keyshawn,M,99,24,3646,3670
Dhamar,F,100,71,0,71
Jaquaisha,F,100,6,0,6
Luckey,M,100,0,5,5
Carlianna,F,100,10,0,10
Aniela,F,100,654,0,654
Ronny,M,96,397,10206,10603
Trivia,F,100,160,0,160
Marionette,F,100,67,0,67
Judeah,F,100,5,0,5
Leeandra,F,100,327,0,327
Jaeliana,F,100,148,0,148
Nuri,M,55,191,229,420
Meleta,F,100,12,0,12
Cassander,F,100,24,0,24
Vinia,F,100,12,0,12
Alekza,F,100,17,0,17
Champaign,F,100,23,0,23
Ruari,F,61,87,55,142
Rahiem,M,100,0,552,552
Bocar,M,100,0,11,11
Danine,F,100,291,0,291
Lysette,F,100,762,0,762
Madylyn,F,100,88,0,88
Thomasine,F,100,1042,0,1042
Kodyn,M,100,0,5,5
Cathelene,F,100,18,0,18
Soyini,F,100,59,0,59
Lorine,F,100,1591,0,1591
Arnessa,F,100,32,0,32
Tihara,F,100,5,0,5
Shavante,F,100,32,0,32
Dequantez,M,100,0,5,5
Cassondr,F,100,8,0,8
Kelsee,F,100,1647,0,1647
Arryn,F,93,63,5,68
Makayla,F,100,95097,152,95249
Tinashe,F,50,5,5,10
Jagan,M,100,0,25,25
Brigston,M,100,0,8,8
Jakerria,F,100,163,0,163
Dracy,M,100,0,21,21
Teyler,F,100,18,0,18
Lilium,F,100,35,0,35
Tramarion,M,100,0,19,19
Venture,M,100,0,6,6
Luigino,M,100,0,5,5
Miron,M,100,0,164,164
Melica,F,100,27,0,27
Ryka,F,100,48,0,48
Jazabelle,F,100,9,0,9
Stepfanie,F,100,182,0,182
Chelena,F,100,16,0,16
Akin,M,100,0,268,268
Donnavan,M,100,0,147,147
Jannae,F,100,140,0,140
Kasumi,F,100,70,0,70
Quanda,F,100,502,0,502
Prayash,M,100,0,5,5
Shakendra,F,100,255,0,255
Eloisa,F,100,3224,0,3224
Kaimarie,F,100,6,0,6
Jarien,M,100,0,35,35
Rahaf,F,100,309,0,309
Rutvik,M,100,0,10,10
Lile,F,100,5,0,5
Gerasimos,M,100,0,195,195
Jaykon,M,100,0,5,5
Aadya,F,100,558,0,558
Joslyne,F,100,71,0,71
Jhoel,M,100,0,55,55
Thorpe,M,100,0,6,6
Sabbir,M,100,0,6,6
Tasos,M,100,0,6,6
Mistina,F,100,93,0,93
Yaretcy,F,100,5,0,5
Megean,F,100,174,0,174
Samarria,F,100,54,0,54
Eben,M,100,6,2362,2368
Toya,F,99,3930,23,3953
Ismael,M,100,73,30962,31035
Agnew,M,100,0,5,5
Marticia,F,100,67,0,67
Ansony,M,100,0,5,5
Josianne,F,100,15,0,15
Karionna,F,100,11,0,11
Kadeijah,F,100,15,0,15
Autherine,F,100,46,0,46
Alayiah,F,100,302,0,302
Emerlee,F,100,12,0,12
Rashanique,F,100,6,0,6
Migel,M,100,0,1552,1552
Nischal,M,100,0,39,39
Grover,M,100,0,5297,5297
Maquisha,F,100,10,0,10
Porsche,F,100,2090,0,2090
